Logradouro/Nome: ,Bairro/Distrito: ,Localidade/UF: ,CEP:
Avenida Mutirão  ,Setor Bueno  ,Goiânia/GO  ,74215-240
Avenida T 10  ,Setor Bueno  ,Goiânia/GO  ,74223-060
Avenida T 11  ,Setor Bueno  ,Goiânia/GO  ,74223-070
Avenida T 12  ,Setor Bueno  ,Goiânia/GO  ,74223-080
Avenida T 15  ,Setor Bueno  ,Goiânia/GO  ,74230-010
Avenida T 6  ,Setor Bueno  ,Goiânia/GO  ,74210-300
Avenida T 8  ,Setor Bueno  ,Goiânia/GO  ,74210-270
Praça C  ,Setor Bueno  ,Goiânia/GO  ,74210-081
Praça Gilson Alves de Souza  ,Setor Bueno  ,Goiânia/GO  ,74210-250
Praça T 16  ,Setor Bueno  ,Goiânia/GO  ,74210-280
Praça T 17  ,Setor Bueno  ,Goiânia/GO  ,74210-290
Praça T 19  ,Setor Bueno  ,Goiânia/GO  ,74210-310
Praça T 21  ,Setor Bueno  ,Goiânia/GO  ,74215-080
Praça T 22  ,Setor Bueno  ,Goiânia/GO  ,74215-090
Praça T 23  ,Setor Bueno  ,Goiânia/GO  ,74215-130
Praça T 24  ,Setor Bueno  ,Goiânia/GO  ,74223-200
Praça T 25  ,Setor Bueno  ,Goiânia/GO  ,74223-210
Praça T 26  ,Setor Bueno  ,Goiânia/GO  ,74230-060
Rua B 4  ,Setor Bueno  ,Goiânia/GO  ,74210-103
Rua B 7  ,Setor Bueno  ,Goiânia/GO  ,74210-102
Rua Brasil  ,Setor Bueno  ,Goiânia/GO  ,74215-070
Rua Campinas  ,Setor Bueno  ,Goiânia/GO  ,74210-116
Rua T 1 A  ,Setor Bueno  ,Goiânia/GO  ,74210-330
Rua T 28 A  ,Setor Bueno  ,Goiânia/GO  ,74210-220
Rua T 282  ,Setor Bueno  ,Goiânia/GO  ,74210-355
Rua T 3 A  ,Setor Bueno  ,Goiânia/GO  ,74215-120
Rua T 31  ,Setor Bueno  ,Goiânia/GO  ,74210-130
Rua T 32  ,Setor Bueno  ,Goiânia/GO  ,74210-120
Rua T 33  ,Setor Bueno  ,Goiânia/GO  ,74215-140
Rua T 34  ,Setor Bueno  ,Goiânia/GO  ,74223-220
Rua T 35  ,Setor Bueno  ,Goiânia/GO  ,74223-230
Rua T 37 A  ,Setor Bueno  ,Goiânia/GO  ,74223-091
Rua T 38 B  ,Setor Bueno  ,Goiânia/GO  ,74230-090
Rua T 39  ,Setor Bueno  ,Goiânia/GO  ,74210-100
Rua T 39 A  ,Setor Bueno  ,Goiânia/GO  ,74210-070
Rua T 39 B  ,Setor Bueno  ,Goiânia/GO  ,74210-080
Rua T 39 C  ,Setor Bueno  ,Goiânia/GO  ,74210-090
Rua T 40  ,Setor Bueno  ,Goiânia/GO  ,74210-105
Rua T 41  ,Setor Bueno  ,Goiânia/GO  ,74210-110
Rua T 42  ,Setor Bueno  ,Goiânia/GO  ,74210-350
Rua T 43  ,Setor Bueno  ,Goiânia/GO  ,74210-140
Rua T 44  ,Setor Bueno  ,Goiânia/GO  ,74210-150
Rua T 45  ,Setor Bueno  ,Goiânia/GO  ,74210-160
Rua T 46  ,Setor Bueno  ,Goiânia/GO  ,74210-170
Rua T 47  ,Setor Bueno  ,Goiânia/GO  ,74210-180
Rua T 48  ,Setor Bueno  ,Goiânia/GO  ,74210-190
Rua T 49  ,Setor Bueno  ,Goiânia/GO  ,74210-200
Rua T 49 A  ,Setor Bueno  ,Goiânia/GO  ,74210-210
Rua T 50  ,Setor Bueno  ,Goiânia/GO  ,74215-200
Rua T 51  ,Setor Bueno  ,Goiânia/GO  ,74215-210
Rua T 53  ,Setor Bueno  ,Goiânia/GO  ,74215-150
Rua T 54  ,Setor Bueno  ,Goiânia/GO  ,74215-160
Rua T 55  ,Setor Bueno  ,Goiânia/GO  ,74215-170
Rua T 56  ,Setor Bueno  ,Goiânia/GO  ,74223-100
Rua T 57  ,Setor Bueno  ,Goiânia/GO  ,74223-110
